INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202485,2025,5,lyj-919,MCI,1M2,69788 Esch Hill,Austin,,67.62.172.12922.31,2024-06-27 22:41:07,,SO-036,INV-00002,INV9192,48,NFI-PN-00001,tempor convallis nulla neque libero,S71,,oz,1,1,1,USD,657.82,657.82,,,,,,,,,0,US,KANBAN
202436,2025,11,dpd-908,NFI,ANN,72376 Sheridan Trail,Bucaramanga,PO2345,68.66.899.57369.23,2024-07-05 22:41:08,2024-06-30 22:41:08,SO-006,INV-00002,INV2122,45,NFI-PN-00002,nunc proin at turpis a,H34,33uu,in,7,7,0,COP,348.23,2437.61,,,,,,,,,0,CO,
202408,2024,51,dpv-538,CARFAIR,1M2,74725 Claremont Crossing,Tierra y Libertad,PO1234,10.08.670.69575.03,2024-07-03 22:41:08,2024-07-02 22:41:08,SO-024,INV-00002,INV2122,29,NFI-PN-00003,nunc donec quis orci eget,F32,22vv,ft,4,4,1,MXN,871.46,3485.84,,,,,,,,,0,MX,
202485,2024,28,met-385,NFI,ANN,25 Clarendon Court,Siaya,PO4567,61.46.144.68751.94,2024-07-04 22:41:08,,SO-041,INV-00002,INV1516,69,NFI-PN-00004,cum sociis natoque,L38,,cm,3,3,1,KES,100.31,300.93,,,,,,,,,0,KE,
202473,2024,2,pap-747,ARBOC,1M1,23 Pleasure Lane,Perstorp,PO8765,38.88.655.01223.08,2024-07-07 22:41:08,2024-07-06 22:41:08,SO-017,INV-00002,INV3536,73,NFI-PN-00005,sed interdum venenatis turpis enim,M65,55ee,lb,1,1,1,SEK,58.52,58.52,,,,,,,,,0,SE,
202433,2024,51,ptx-029,CARFAIR,1M1,943 Lien Way,Gaokan,PO6789,92.46.153.04965.10,2024-07-08 22:41:08,,SO-045,INV-00002,INV2728,75,NFI-PN-00006,nulla nisl nunc,H8,,ft,4,4,1,CNY,975.18,3900.72,,,,,,,,,0,CN,
202456,2025,19,hwq-540,MCI,1M1,69 Rutledge Parkway,Brušperk,PO6543,21.68.371.13226.58,2024-07-06 22:41:08,,SO-032,INV-00002,INV7980,48,NFI-PN-00007,consequat morbi a,T46,99gg,L,3,3,0,CZK,583.42,1750.26,,,,,,,,,0,CZ,
202445,2024,38,pow-007,CARFAIR,ANN,44986 Merry Point,Bradenton,,87.38.609.08721.70,2024-07-02 22:41:08,2024-06-27 22:41:08,SO-004,INV-00002,INV8990,68,NFI-PN-00008,morbi ut odio cras mi pede,D82,11uu,gal,7,7,1,USD,364.77,2553.39,,,,,,,,,0,US,
202415,2024,45,alr-939,ARBOC,1M2,397 Lake View Crossing,Chengyang,,43.21.498.10144.22,2024-06-30 22:41:08,2024-06-27 22:41:08,SO-019,INV-00002,INV3132,74,NFI-PN-00009,pretium quis lectus,B2,,L,9,9,1,CNY,900.33,8102.97,,,,,,,,,0,CN,
202453,2024,27,zho-119,CARFAIR,SCL,48408 Rockefeller Plaza,Goranboy,,33.93.954.77355.89,2024-06-29 22:41:08,,SO-024,INV-00002,INV3940,94,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,C3,66pp,pt,6,6,0,AZN,81.45,488.7,,,,,,,,,0,AZ,
