INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202491,2025,43,ohf-535,ARBOC,1M1,4 Dunning Center,Krajan Karanganyar,PO2109,91.62.234.56892.66,2024-06-28 14:45:12,2024-06-27 14:45:12,SO-043,INV-00002,INV7172,45,NFI-PN-00001,tempor convallis nulla neque libero,I9,11cc,oz,7,7,0,IDR,657.82,4604.74,,,,,,,,,0,ID,
202449,2024,47,ufo-934,NFI,1M2,816 Summerview Parkway,Boden,,51.02.070.18890.96,2024-06-25 14:45:12,2024-06-22 14:45:12,SO-015,INV-00002,INV7172,65,NFI-PN-00002,nunc proin at turpis a,P42,77ii,in,6,6,1,SEK,96,576.0,,,,,,,,,0,SE,
202446,2025,24,hmg-351,MCI,1M1,5146 Blackbird Park,Heshengbao,,29.85.882.69185.36,2024-06-27 14:45:12,,SO-025,INV-00002,INV1314,16,NFI-PN-00003,nunc donec quis orci eget,K63,,ft,1,1,1,CNY,871.46,871.46,,,,,,,,,0,CN,
202412,2025,16,reh-585,CARFAIR,1M2,797 Moland Plaza,Dongxi,,68.81.905.84414.47,2024-06-25 14:45:12,,SO-017,INV-00002,INV9192,7,NFI-PN-00004,cum sociis natoque,S45,,cm,6,6,0,CNY,100.31,601.86,,,,,,,,,0,CN,
202468,2025,16,gee-686,MCI,1M1,2 Independence Court,Agago,,49.13.678.48377.32,2024-06-25 14:45:12,,SO-006,INV-00002,INV8990,43,NFI-PN-00005,sed interdum venenatis turpis enim,X24,,lb,7,7,0,UGX,58.52,409.64,,,,,,,,,0,UG,
202483,2024,46,yxw-129,NFI,CWP,07 Glacier Hill Terrace,Taiba,,32.86.739.07701.11,2024-07-03 14:45:12,,SO-020,INV-00002,INV4344,3,NFI-PN-00006,nulla nisl nunc,T98,,ft,4,4,0,CNY,975.18,3900.72,,,,,,,,,0,CN,
202478,2024,45,lfa-156,CARFAIR,ANN,8 Pond Trail,Colmeal,,11.26.775.30866.01,2024-06-20 14:45:12,,SO-010,INV-00002,INV4950,3,NFI-PN-00007,consequat morbi a,Z26,22pp,L,6,6,1,EUR,583.42,3500.52,,,,,,,,,0,PT,
202452,2024,34,wym-890,CARFAIR,ANN,09 Hanson Avenue,Saint-Jouan-des-Guérets,,46.63.666.11310.96,2024-06-27 14:45:12,2024-06-24 14:45:12,SO-043,INV-00002,INV5678,67,NFI-PN-00008,morbi ut odio cras mi pede,N92,,gal,3,3,1,EUR,364.77,1094.31,,,,,,,,,0,FR,KANBAN
202433,2024,24,jrz-210,NFI,1M1,39 Reindahl Avenue,Bandar-e Lengeh,,24.49.595.26160.24,2024-06-25 14:45:12,2024-06-19 14:45:12,SO-023,INV-00002,INV8384,20,NFI-PN-00009,pretium quis lectus,X24,33mm,L,5,5,0,IRR,900.33,4501.65,,,,,,,,,0,IR,
202483,2025,29,vlk-813,ARBOC,CWP,42 Pleasure Center,Santa Cruz,PO0123,01.38.708.18887.01,2024-06-22 14:45:12,2024-06-16 14:45:12,SO-048,INV-00002,INV1234,34,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,N66,22zz,pt,8,8,0,MXN,81.45,651.6,,,,,,,,,0,MX,
