INVOICE_PERIOD,INVOICE_YEAR,INVOICE_WEEK,CELL_NAME_(LOCATION),NFI_GROUP_BUSINESS_UNIT,NFI_GROUP_LOCATION,SHIP_TO_ADDRESS,SHIP_TO_CITY,PURCHASER_ORDER_NUMBER,COST_CENTER_(GL_CODE),INVOICE_DATE,ORDER_DATE,SALES_ORDER_NUMBER,SUMMARY_INVOICE_NUMBER,INVOICE_NUMBER,INVOICE_LINE_NUMBER,NFI_GROUP_PART_NUMBER,PART_DESCRIPTION_1,SUPPLIER_PART_NUMBER,MFG_PART_NUMBER,UNIT_OF_MEASURE,ORDER_QTY,SHIP_QTY,BACKORDER_QTY,CURRENCY,UNIT_PRICE,EXTENDED_COST,SPOT_BUY,SALES_TAX,PST_TAX,GST_TAX,FREIGHT_COST,GST_ON_FREIGHT,TAX_ON_FREIGHT,RESTOCK_CHARGE,TOTAL_LINE_PRICE,COO_COUNTRY_OF_ORIGIN,PROGRAM
202442,2024,2,ofv-877,NFI,1M2,96 Bluestem Parkway,Lonpao Dajah,PO3210,55.85.662.59130.70,2024-06-20 14:43:29,2024-06-16 14:43:29,SO-033,INV-00002,INV1920,15,NFI-PN-00001,tempor convallis nulla neque libero,S19,,oz,4,4,0,IDR,657.82,2631.28,,,,,,,,,0,ID,
202424,2024,32,qzf-497,NFI,SCL,326 Badeau Trail,Nartkala,,86.42.860.60930.65,2024-06-26 14:43:29,2024-06-25 14:43:29,SO-008,INV-00002,INV9394,17,NFI-PN-00002,nunc proin at turpis a,R96,,in,5,5,0,RUB,348.23,1741.15,,,,,,,,,0,RU,
202443,2025,28,pdo-653,ARBOC,1M2,26732 Pond Alley,Artashat,PO4321,33.09.993.37291.78,2024-06-28 14:43:30,,SO-012,INV-00002,INV8788,89,NFI-PN-00003,nunc donec quis orci eget,S97,,ft,3,3,1,AMD,871.46,2614.38,,,,,,,,,0,AM,VMI
202492,2024,10,nrm-874,ARBOC,ANN,6944 Granby Way,Krupanj,,88.16.877.14948.12,2024-07-01 14:43:30,2024-06-29 14:43:30,SO-039,INV-00002,INV7778,42,NFI-PN-00004,cum sociis natoque,A53,,cm,2,2,1,RSD,100.31,200.62,,,,,,,,,0,RS,
202465,2025,3,vqn-712,MCI,CRK,4 Hooker Terrace,Nässjö,PO4321,14.40.809.14802.31,2024-06-26 14:43:30,2024-06-20 14:43:30,SO-020,INV-00002,INV4142,50,NFI-PN-00005,sed interdum venenatis turpis enim,O67,,lb,5,5,0,SEK,58.52,292.6,,,,,,,,,0,SE,
202496,2025,2,ilm-238,MCI,SCL,89441 Pond Plaza,Hiseti,PO8765,32.28.800.56788.58,2024-06-28 14:43:30,,SO-013,INV-00002,INV1516,6,NFI-PN-00006,nulla nisl nunc,I87,55ii,ft,4,4,0,BAM,975.18,3900.72,,,,,,,,,0,BA,
202468,2025,29,hul-444,CARFAIR,WPR,97927 Shopko Parkway,Kakuda,PO8765,17.89.893.12424.50,2024-06-26 14:43:30,,SO-041,INV-00002,INV2122,69,NFI-PN-00007,consequat morbi a,O93,88rr,L,6,6,1,JPY,583.42,3500.52,,,,,,,,,0,JP,
202440,2025,51,utx-768,NFI,CRK,06 Loeprich Hill,Oruro,,08.37.155.17327.29,2024-06-28 14:43:30,2024-06-24 14:43:30,SO-033,INV-00002,INV6364,25,NFI-PN-00008,morbi ut odio cras mi pede,G33,,gal,2,2,0,BOB,364.77,729.54,,,,,,,,,0,BO,
202455,2024,14,vzm-635,NFI,CRK,360 Fairview Crossing,Jintian,,84.43.522.79686.21,2024-06-20 14:43:30,,SO-042,INV-00002,INV2324,61,NFI-PN-00009,pretium quis lectus,B2,88bb,L,6,6,1,CNY,900.33,5401.98,,,,,,,,,0,CN,
202475,2024,11,feg-528,MCI,1M2,99 Briar Crest Junction,Ash Shajarah,PO9012,91.85.796.04988.23,2024-06-30 14:43:30,,SO-036,INV-00002,INV8182,90,NFI-PN-00010,hac habitasse platea dictumst aliquam augue,I87,77qq,pt,3,3,1,JOD,81.45,244.35,,,,,,,,,0,JO,
